||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'||||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'|||||||||||||||||||||||||||||||||
||||||||||||||||||||'Суммарный объем'|'Суммарный объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|
56|1201056|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||2030|1417,84|231,31||149,72||125,05||71,74||30,37||29,4||29,4||28,28||38,88||138,1||132,11||165,96||1336,18|0,83|'150-70'|'Зависимая'|1|'нет'|
57|1201057|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||2886,35|3511,17|543,14||372,02||275,31||141,16||74,95||69,92||69,92||66,85||85,65||292,89||307,85||368,55||3082,6|1,44|'150-70'|'Зависимая'|2|'нет'|
58|1201058|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1719,54|1646,25|253,36||174,93||132,56||73,25||35,41||30,53||30,53||30,07||39,87||154,87||144,9||190,61||1521,84|0,81|'150-70'|'Зависимая'|1|'нет'|
59|1201059|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||2217,95|2197,6|315,07||174,6||126,08||73,14||50,3||41,88||41,88||51,41||54,32||161,26||154,2||202,98||1660,1|1,05|'150-70'|'Зависимая'|1|'нет'|
60|1201060|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1629,75|1599,22|227,69||175,38||132,51||66,31||34,74||34,05||34,05||28,7||42,73||124,88||171,71||217,12||1481,56|0,77|'150-70'|'Зависимая'|1|'нет'|
61|1201061|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||||||||||||||||||||||||||||||'150-70'|'Зависимая'|2|'нет'|
62|1201062|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1820,57|1957,48|296,34||205,18||156,23||87,54||45,29||44,94||44,94||42,65||62,52||163,88||180,15||210,71||1760,5|1,06|'150-70'|'Зависимая'|1|'нет'|
63|1201063|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1661,61|1790,27|266,5||183,81||127,94||68,52||40,3||36,1||36,1||55,05||34,55||150,05||139,67||209,52||1577,34|0,84|'150-70'|'Зависимая'|1|'нет'|
64|1201064|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||2811,72|3422,84|590,8||419,03||285,75||157,65||75,85||72,36||72,36||72,33||95,21||320,29||330,93||409,37||3378,82|1,29|'150-70'|'Зависимая'|2|'нет'|
65|1201065|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1999,38|2029,68|330,14||214,52||143,22||78,28||36,76||36,12||36,12||31,36||45,51||148,97||188,94||209,83||1750,67|1,04|'150-70'|'Зависимая'|1|'нет'|
66|1201066|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||914,8|1008,59|134,37||134,23||72,77||43,19||22,06||27,2||27,2||25,87||34,66||96,05||97,59||114,7||940,48|0,53|'150-70'|'Зависимая'|1|'нет'|
67|1201067|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1401,9|1366,4|238,06||155,98||116,25||53,5||19,66||23,16||23,16||19,95||26,34||135,88||129,98||152,7||1298,16|0,74|'150-70'|'независимая'|1|'нет'|
68|1201068|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1221,71|1220,41|213,02||140,23||112,66||45,02||18,36||17,29||17,29||18,21||23,09||105,21||115,74||156,2||1158,28|0,77|'150-70'|'независимая'|1|'нет'|
69|1201069|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1825,26|1855,32|275,33||213,42||169,07||84,75||39,6||34,25||34,25||33,41||44,95||135,46||166,18||197,71||1659,84|1,08|'150-70'|'Зависимая'|1|'нет'|
70|1201070|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1138,39|1039,26|147,8||114,3||86,34||53,18||23,74||28,54||28,54||31,23||31,76||85,41||99,8||107,01||957,54|0,56|'150-70'|'Зависимая'|1|'нет'|
71|1201071|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1394,07|1316,86|227,09||150,91||121,11||45,96||19,8||19,11||19,11||16,81||24,75||126,43||99,46||151,44||1226,46|0,67|'150-70'|'независимая'|1|'нет'|
72|1201072|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1318,14|1326,37|224,18||157,3||117,62||46,57||18,94||16,92||16,92||17,56||23,99||102,46||120,74||157,54||1222,08|0,75|'150-70'|'независимая'|1|'нет'|
73|1201073|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||2015,68|2081,03|313,9||221,85||168,83||87,28||42,52||36,87||36,87||31,91||45,15||174,28||182,79||223,14||1811,15|1,08|'150-70'|'Зависимая'|1|'нет'|
74|1201074|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||982,75|848,89|227,46||116,86||71,68||13,85||0||3,8||3,8||0||0||111,83||104,39||111,16||920,96|0,48|'150-70'|'Зависимая'|1|'нет'|
75|1201075|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||759,56|827,69|172,91||103,55||65,36||15,41||0||2,17||2,17||0||0||91,91||87,05||91,85||778,5|0,35|'150-70'|'Зависимая'|1|'нет'|
76|1201076|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||498,01|481,1|114,3||66,22||42,94||10,75||0||0,5||0,5||0||0||56,33||58,74||64,08||504,51|0,23|'150-70'|'Зависимая'|1|'нет'|
77|1201077|'"ГУП ""ТЭК СПб"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||2905,73|2885,04|580,61||523,38||361,64||117,06||75,15||53,35||53,35||64,41||73,01||216,95||238,58||307,35||953,65|1,47519|'150-70'|'Зависимая'|2|'нет'|
78|1201078|'"ГУП ""ТЭК СПб"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||5218,72|4690,99|762,2||681,62||526,91||176,39||116,18||57,22||57,22||81,26||103,39||400,53||448,27||550,13||1640,8|1,93819|'150-70'|'Зависимая'|2|'нет'|
79|1201079|'"ГУП ""ТЭК СПб"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|3|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||6068,07|6146,58|959,83||833,66||635,53||319,62||191,6||110,72||110,72||205,46||160,32||499,06||540,15||669,13||2184,84|2,77122|'150-70'|'Зависимая'|3|'нет'|
80|1201080|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|6|'Местная'|||'120-70'|'да'|'нет'|'нет'|'нет'||'нет'||9005,92|8627,86|1202,8||860,98||625,15||302,2||146,44||178,85||178,85||158,86||200,88||682,89||642,69||833,88||7017,26|3,4|'120-70'|'Зависимая'|6|'нет'|
81|1201081|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0|'Местная'|||'120-70'|'да'|'нет'|'нет'|'нет'||'нет'||5967,53|5430,8|543,33||542,76||544,42||535,72||174,56||190,03||190,03||16,63||119,29||477,96||469,26||487,66||4649,04|2,19|'120-70'|'Зависимая'|0|'да'|
82|1201082|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||805,54|690,49|90,48||91,33||91,33||26,52||0||0||0||0||0||90,87||90,87||90,87||272,61|0,28704|'95-70'|'Зависимая'|0|'да'|
83|1201083|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||1006,9|1328,81|194,08||194,09||194,09||56,36||0||0||0||0||0||188,95||189,98||189,98||568,91|0,51186|'95-70'|'Зависимая'|0|'да'|
84|1201084|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||1283,27|1757,52|252,03||252,03||252,03||73,17||0||0||0||0||0||244,52||244,48||245,85||734,85|0,65236|'95-70'|'Зависимая'|0|'да'|
85|1201085|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||754,23|1171,39|162,32||162,32||162,32||47,13||0||0||0||0||0||154,85||155,24||156,12||466,21|0,3834|'95-70'|'Зависимая'|0|'нет'|
86|1201086|'"ГУП ""ТЭК СПб"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||896,34|695,35|72,65||72,65||72,65||41,33||47,89||21,7||21,7||56,65||56,65||67,07||67,07||67,07||336,21|0,25163|'150-70'|'Зависимая'|1|'нет'|
87|1201087|'"ГУП ""ТЭК СПб"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||3566,25|3617,92|401,49||401,45||393,06||209,08||182,87||113,03||113,03||36,55||62,45||231,25||258,44||298,61||1000,33|1,21707|'150-70'|'Зависимая'|2|'нет'|
88|1201088|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|6|'Местная'|||'120-70'|'да'|'нет'|'нет'|'нет'||'нет'||8483,52|7581,54|955,96||958,17||955,76||948,28||324,66||347,98||347,98||-221,93||181,01||698,89||624,99||840,3||7573,54|3,737|'120-70'|'Зависимая'|6|'нет'|
89|1201089|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||3731,4|2869,72|447,53||357,7||239,71||111,99||50,03||47,14||47,14||43,02||60,15||258,16||263,31||337,8||2657,96|1,38|'150-70'|'Зависимая'|2|'нет'|
90|1201090|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||3673,34|3048,75|480,76||374,08||243,72||113,19||50,48||48,65||48,65||41,45||55,34||264,96||282,29||351,06||2784,18|1,39|'150-70'|'Зависимая'|2|'нет'|
91|1201091|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1285,68|1256,67|216,15||132,89||113,53||52,45||21,39||21,61||21,61||20,37||26,46||96,47||106,61||140,66||1152,34|0,67|'150-70'|'независимая'|1|'нет'|
92|1201092|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||296,39|264,37|38,39||38,39||38,39||11,15||0||0||0||0||0||36,56||36,56||36,56||109,68|0,1104|'95-70'|'Зависимая'|0|'да'|
93|1201093|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||292,04|200,45|27,15||27,15||27,15||7,88||0||0||0||0||0||23,739||23,739||23,739||71,217|0,10538|'95-70'|'Зависимая'|0|'да'|
94|1201094|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||361,54|463,98|65,91||65,91||65,91||19,14||0||0||0||0||0||63,4999||63,4999||63,4999||190,4997|0,18367|'95-70'|'Зависимая'|2|'нет'|
95|1201095|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||444,55|518,82|75,76||75,76||75,76||22||0||0||0||0||0||75,5584||75,5584||75,5584||226,6752|0,22582|'95-70'|'Зависимая'|0|'нет'|
96|1201096|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||||||||||||||||||||||||||||||'95-70'|'Зависимая'|2|'нет'|
97|1201097|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||691,55|292,41|37,98||37,98||37,98||11,02||0||0||0||0||0||36,039||36,039||36,039||108,117|0,15356|'95-70'|'Зависимая'|0|'нет'|
98|1201098|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||1011,87|1338,14|185,95||185,95||185,95||53,99||0||0||0||0||0||172,97||172,97||172,97||518,91|0,51386|'95-70'|'Зависимая'|0|'нет'|
99|1201099|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||1007,27|1680,44|101,35||85,4||70,31||18,48||0||0||0||0||0||27,16||38,39||56,7||122,25|0,40848|'95-70'|'Зависимая'|1|'нет'|
100|1201100|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||2150,85|2270,59|373,92||247,83||182,29||98,24||62,19||59,44||59,44||50,65||70,63||171,52||208,53||256,45||2089,91|0,99|'150-70'|'Зависимая'|1|'нет'|
101|1201101|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1436,54|1549,82|246,02||175,94||120,49||67,91||37,55||33,9||33,9||32,07||39,53||156,67||119,19||160,55||1422,36|0,69|'150-70'|'Зависимая'|1|'нет'|
102|1201102|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1335,17|1537,08|240,97||169,82||133,65||62,91||33,26||28,35||28,35||27,15||37,29||153,72||151,37||172,83||1428,72|0,72|'150-70'|'Зависимая'|1|'нет'|
103|1201103|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1489,88|1157,35|220,3||152,8||126,77||51,94||21,3||18,49||18,49||19,96||23,84||129,37||137,91||149,96||1260,84|0,72|'150-70'|'независимая'|1|'нет'|
104|1201104|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1314,58|1305,97|218,35||126,37||115,3||48,06||24,97||21,07||21,07||23,18||30,51||129,23||134,26||171,96||1236,22|0,68|'150-70'|'независимая'|1|'нет'|
105|1201105|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||2131,46|2187,3|379,26||249,36||155,9||98,93||49,03||43,75||43,75||28,4||47,66||198,1||136,08||211,86||1931,62|0,98|'150-70'|'Зависимая'|1|'нет'|
106|1201106|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1838,1|1642,36|249,11||201,04||146,22||74,91||45,85||39,11||39,11||39,46||46,98||145,25||151,45||196,4||1588,71|0,66|'150-70'|'Зависимая'|1|'нет'|
107|1201107|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1888,41|1754,07|266,21||176,83||160,1||56,81||46,05||36,44||36,44||36,13||44,78||155,07||142,95||192,95||1561,07|0,66|'150-70'|'Зависимая'|1|'нет'|
108|1201108|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1896,16|1717,47|278,89||137,67||164,62||70,71||50,74||39,8||39,8||38,51||46,43||168,36||159,85||198,22||1619,01|0,66|'150-70'|'Зависимая'|1|'нет'|
109|1201109|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1090,6|1233,28|196,74||138,93||100,17||47,57||26,02||20,67||20,67||17,84||29,06||111,54||115,24||144,44||1133,59|0,66|'150-70'|'Зависимая'|1|'нет'|
110|1201110|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1958,65|1989,12|295,6||218,98||162,19||88,19||59,68||48,46||48,46||43,58||59,78||210,46||204,27||246||1933,92|1|'150-70'|'Зависимая'|1|'нет'|
111|1201111|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||3007,83|2863,8|406,79||292,2||245,21||125,6||67,26||58,86||58,86||64,75||79,74||251,72||228,65||313,42||2549,01|1,38|'150-70'|'Зависимая'|2|'нет'|
112|1201112|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||3104,72|2938,61|438,01||303,85||244,11||132,43||61,64||56,04||56,04||65,48||86,22||264,4||256,6||351,23||2710,71|1,38|'150-70'|'Зависимая'|2|'нет'|
113|1201113|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1874,05|1544,73|249,56||159,9||121,86||65,15||40,93||28,19||28,19||37,39||49,26||143,94||139,54||187,3||1445,04|0,73|'150-70'|'Зависимая'|1|'да'|
114|1201114|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1262,77|1324,73|238,78||161,92||121,01||44,1||15,11||15,84||15,84||14,12||20||126,62||131,35||170,12||1271,04|0,73|'150-70'|'Зависимая'|0|'да'|
