||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'|||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'||||||||||||||||||||||||||||||||
||||||||||||||||||||'Суммарный объем'|'Суммарный объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'|||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
37|34137|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|756,34|760,97|186,73|'д'|148,31|'д'|138,27|'д'|97,491|'Д'|40,7|'д'|0|'д'|0|'д'|0|'д'|0|'д'|77,87|'д'|92,51|'д'|118,12|'д'|900,001|0,405|'105-70'|'зависимая'|1|'отсутствует'
38|34138|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|406,94|407,99|239,36|'д'|181,43|'д'|177,64|'д'|129,419|'д'|57,19|'д'|0|'д'|0|'д'|0|'д'|0|'д'|84,79|'д'|118,24|'д'|143,22|'д'|1131,289|0,42752|'105-70'|'зависимая'|1|'отсутствует'
39|34139|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|521,49|554,33|153,11|'д'|123,43|'д'|119,15|'д'|86,673|'Д'|38,48|'д'|0|'д'|0|'д'|0|'д'|0|'д'|57,222|'д'|77,77|'д'|101,08|'д'|756,915|0,28859|'105-70'|'зависимая'|1|'отсутствует'
40|34140|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|659,88|583,35|156,49|'д'|124,38|'д'|115,44|'д'|86,815|'Д'|38,42|'д'|0|'д'|0|'д'|0|'д'|0|'д'|62,287|'д'|79,22|'д'|101,36|'д'|764,412|0,2953|'105-70'|'зависимая'|1|'отсутствует'
41|34141|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|886,44|842,53|225,28|'д'|167,31|'д'|164,11|'д'|117,763|'Д'|48,84|'д'|0|'д'|0|'д'|0|'д'|0|'д'|80,185|'д'|106,91|'д'|134,6|'д'|1044,998|0,42756|'105-70'|'зависимая'|1|'отсутствует'
42|34142|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1311,16|1360,1|335,7|'д'|254,78|'д'|253,67|'д'|182,302|'Д'|42,72|'д'|0|'д'|0|'д'|0|'д'|0|'д'|127,872|'д'|170,05|'д'|212,7|'д'|1579,794|0,7151|'105-70'|'зависимая'|2|'отсутствует'
43|34143|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|3|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1350,27|1418,83|333,25|'д'|254,69|'д'|252,29|'д'|185,267|'д'|86,07|'д'|0|'д'|0|'д'|0|'д'|0|'д'|150,302|'д'|178,41|'д'|216,29|'д'|1656,569|0,73106|'105-70'|'зависимая'|3|'отсутствует'
44|34144|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|3|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1412,21|1136,65|316,34|'р'|238,89|'р'|305,07|'р'|164,28|'р'|33,58|'р'|0|'р'|0|'р'|0|'р'|0|'р'|174,33|'р'|171,65|'р'|230,63|'р'|1634,77|0,764|'105-70'|'зависимая'|3|'отсутствует'
45|34145|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|6|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|2448,71|2020,41|587,27|'д'|383|'д'|383|'д'|373,58|'д'|154,45|'д'|0|'д'|0|'д'|0|'д'|0|'д'|245,64|'д'|395,34|'д'|378,48|'д'|2900,76|1,33371|'105-70'|'зависимая'|6|'отсутствует'
46|34146|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|4|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1811,29|2468,2|350,68|'р'|350,68|'р'|350,68|'р'|350,68|'р'|102,72|'р'|0|'р'|0|'р'|0|'р'|0|'р'|321,16|'р'|325,44|'р'|325,44|'р'|2477,48|0,98293|'105-70'|'зависимая'|4|'отсутствует'
47|34147|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|4|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|3234,9|3915,81|562,12|'р'|562,12|'р'|562,12|'р'|562,12|'р'|164,64|'р'|0|'р'|0|'р'|0|'р'|0|'р'|488,8|'р'|497,16|'р'|497,16|'р'|3896,24|1,75541|'105-70'|'зависимая'|4|'отсутствует'
48|34148|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|989,53|999,53|268,79|'д'|189,72|'д'|188,64|'д'|135,596|'д'|59,92|'д'|0|'д'|0|'д'|0|'д'|0|'д'|96,405|'д'|124,56|'д'|161,35|'д'|1224,981|0,49878|'105-70'|'зависимая'|1|'отсутствует'
49|34149|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1316,84|1486,14|333,32|'д'|286,13|'д'|283,82|'д'|205,536|'д'|51,31|'д'|0|'д'|0|'д'|0|'д'|0|'д'|133,376|'д'|177,59|'д'|232,46|'д'|1703,542|0,7311|'95/70'|'зависимая'|2|'отсутствует'
50|34150|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|856,63|985,25|205,5|'д'|282,26|'д'|178,26|'д'|124,734|'д'|57,18|'д'|0|'д'|0|'д'|0|'д'|0|'д'|89,947|'д'|115,37|'д'|152,27|'д'|1205,521|0,49878|'105-70'|'зависимая'|1|'отсутствует'
51|34151|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|667,25|649,94|165,71|'д'|105,26|'д'|104,91|'д'|102,414|'д'|37,19|'д'|0|'д'|0|'д'|0|'д'|0|'д'|62,467|'д'|81,04|'д'|104,51|'д'|763,501|0,3356|'105-70'|'зависимая'|1|'отсутствует'
52|34152|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|3|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1798,37|2096,25|559,14|'д'|474,16|'д'|420,98|'д'|288,202|'д'|126,65|'д'|0|'д'|0|'д'|0|'д'|0|'д'|203,578|'д'|267,56|'д'|351,66|'д'|2691,93|1,00492|'105-70'|'зависимая'|3|'отсутствует'
53|34153|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|826,6|819,08|212,31|'д'|163,66|'д'|163,33|'д'|120,428|'д'|53,98|'д'|0|'д'|0|'д'|0|'д'|0|'д'|84,471|'д'|102,95|'д'|133,49|'д'|1034,619|0,35529|'105-70'|'зависимая'|1|'отсутствует'
54|34154|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|877,49|732,61|204,6|'д'|147,12|'д'|142,54|'д'|99,91|'д'|35,47|'д'|0|'д'|0|'д'|0|'д'|0|'д'|73,337|'д'|95,19|'д'|126,48|'д'|924,647|0,38128|'105-70'|'зависимая'|1|'отсутствует'
55|34155|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1306,09|1404,92|354,01|'д'|283,83|'д'|283,38|'д'|196,647|'д'|82,54|'д'|0|'д'|0|'д'|0|'д'|0|'д'|140,836|'д'|178,48|'д'|227,46|'д'|1747,183|0,73106|'105-70'|'зависимая'|2|'отсутствует'
56|34156|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|786,57|784,19|170,77|'д'|123,86|'д'|123,8|'д'|113,643|'д'|58,23|'д'|0|'д'|0|'д'|0|'д'|0|'д'|79,413|'д'|96,49|'д'|121,29|'д'|887,496|0,3492|'105-70'|'зависимая'|1|'отсутствует'
57|34157|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|919,9|976,97|257,07|'д'|198,52|'д'|198,18|'д'|144,905|'д'|67,58|'д'|0|'д'|0|'д'|0|'д'|0|'д'|106,414|'д'|123,64|'д'|160,15|'д'|1256,459|0,49878|'105-70'|'зависимая'|2|'отсутствует'
58|34158|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|3|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1528,05|1474,35|352,97|'д'|275,81|'д'|272,68|'д'|196,165|'д'|91,53|'д'|0|'д'|0|'д'|0|'д'|0|'д'|155,665|'д'|181,71|'д'|228,37|'д'|1754,9|0,73106|'105-70'|'зависимая'|3|'отсутствует'
59|34159|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|837,13|789,95|182,91|'д'|148,3|'д'|144,6|'д'|105,199|'Д'|47,06|'д'|0|'д'|0|'д'|0|'д'|0|'д'|72,471|'д'|90,3|'д'|120,5|'д'|911,34|0,35728|'105-70'|'зависимая'|1|'отсутствует'
60|34160|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1305,79|1492,66|388,81|'д'|312,99|'д'|312,88|'д'|218,884|'Д'|82,93|'д'|0|'д'|0|'д'|0|'д'|0|'д'|131,898|'д'|183,4|'д'|240,06|'д'|1871,852|0,73106|'105-70'|'зависимая'|2|'отсутствует'
61|34161|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|5|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|2336,25|3403,51|473|'р'|473|'р'|473|'р'|473|'р'|143,71|'р'|0|'р'|0|'р'|0|'р'|0|'р'|452,68|'р'|452,68|'р'|452,68|'р'|3393,75|1,25922|'105-70'|'зависимая'|5|'отсутствует'
62|34162|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1688,66|1469,16|401,17|'д'|312,68|'д'|294,57|'д'|206,275|'Д'|94,17|'д'|0|'д'|0|'д'|0|'д'|0|'д'|187,333|'д'|212,457|'д'|254,786|'д'|1963,441|0,83453|'105-70'|'зависимая'|2|'отсутствует'
63|34163|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|5|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1449,82|2090,51|343,54|'д'|297,86|'д'|253,08|'д'|173,457|'Д'|80,56|'д'|0|'д'|0|'д'|0|'д'|0|'д'|160,847|'д'|177,88|'д'|223,346|'д'|1710,57|0,7201|'105-70'|'зависимая'|5|'отсутствует'
64|34164|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|2121,51|2081,55|542,84|'д'|406,59|'д'|406,51|'д'|548,962|'Д'|144,18|'д'|0|'д'|0|'д'|0|'д'|0|'д'|231,47|'д'|263,37|'д'|319,74|'д'|2863,662|1,11053|'105-70'|'зависимая'|2|'отсутствует'
65|34165|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1787,69|1724,53|445,22|'д'|329,82|'д'|329,6|'д'|241,137|'Д'|107,83|'д'|0|'д'|0|'д'|0|'д'|0|'д'|184,354|'д'|207,2|'д'|263,961|'д'|2109,122|0,93586|'105-70'|'зависимая'|2|'отсутствует'
66|34166|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1652,09|1645,31|441,43|'д'|349,72|'д'|344,6|'д'|251,422|'Д'|121,8|'д'|0|'д'|0|'д'|0|'д'|0|'д'|190,55|'д'|210,135|'д'|277,545|'д'|2187,202|0,80463|'105-70'|'зависимая'|2|'отсутствует'
67|34167|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1769,04|1956,84|266,44|'р'|266,44|'р'|266,44|'р'|265,34|'р'|81,02|'р'|0|'р'|0|'р'|0|'р'|0|'р'|244,3|'р'|244,3|'р'|244,96|'р'|1879,24|0,95579|'105-70'|'зависимая'|2|'отсутствует'
68|34168|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1454,43|1378,62|352,26|'д'|276,65|'д'|267,84||196,561|'Д'|83,36|'д'|0|'д'|0|'д'|0|'д'|0|'д'|134,876|'д'|180,83|'д'|228,96|'д'|1721,337|0,73107|'105-70'|'зависимая'|2|'отсутствует'
